shipping;le transport maritime
enclosed;enfermé;
performed;effectué
venues;lieux
fuel;carburant
commuter train;train de banlieue
steadily;régulièrement
cheaply;à bon marché
household;les occupants
substanstially;considérablement
prohibited;interdit
debt;dette
invoice;facture
timetables;calendrier
steel;acier
eagerly;vivement
coastal towns;villes côtières
conglomerate;s'agglomérer
Regardless;indépendamment
flavorings;assaisonnement
pace;rythme
retain;conserver
vicinity;voisinage
convenience;commodité
redeemed;racheter
remain;rester
entitled;intitulé
incurred;engagé
Upon;sur
lodging;hébergement
incentive;motivation
in spite of;malgré
pick up;ramasser
a receptionist;un réceptionniste
a lawyer;un avocat (la personne)
a solicitor;un notaire
a dentist;un dentiste
an accountant;un comptable
a teacher;un enseignant
a nurse;une infirmière
a chemist;un pharmacien
an optician;un opticien
a surgeon;un chirurgien
an engineer;un ingénieur
a civil servant;un fonctionnaire
a salesman;un vendeur
a sales representative;un commercial
a manager;un manager, un gérant
a personnel manager;un chef du personnel
a marketing director;un directeur marketing
a lecturer;un maître de conférence
a physiotherapist;un physiothérapeute
a psychiatrist;un psychiatre
a buyer;un acquéreur
an architect;un architecte
a writer;un écrivain
a painter;un peintre
a decorator;un décorateur
a builder;un entrepreneur
a taxi driver;un chauffeur de taxi
a hairdresser;un coiffeur
a lorry driver;un camionneur
a policeman;un officier de police
a store manager;un directeur de magasin
an office worker;un employé de bureau
a secretary;une secretaire
a pilot;un pilote
a shopkeeper;un commerçant
a shop assistant;un vendeur
a barber;un barbier
an air hostess;une hôtesse de l'air
a temporary worker;un intérimaire
a fireman;un pompier
a baker;un boulanger
a telephonist;un standardiste
a bank manager;un directeur de banque
a travel agent;un agent de voyages
an estate agent;un agent immobilier
a waiter;un serveur
a director;un responsable, un chef de projet
a musician;un musicien
an actor;un acteur
a playwriter;un dramaturge
a model;un mannequin
a singer;un chanteur
a dancer;un danseur
a politician;un politicien
a cook;un cuisinier
a housewife;un femme au foyer
unemployed;sans emploi
a florist;un fleuriste
a mechanic;un mécanicien
an artist;un artiste
a carpenter;un charpentier
a factory worker;un ouvrier d'usine
a traffic warden;une contractuelle
an electrician;un électricien
a cleaner;un technicien de surface
a photographer;un photographe
a translator;un traducteur
a plumber;un plombier
a social worker;un assistant social
a carer;un aide à domicile
a gardener;un jardinier
a nanny;une nourrice
a barman;un barman
a soldier;un soldat
a sailor;un marin
a postman;un facteur
a farmer;un fermier
a butcher;un boucher
a journalist;un journaliste
a bus driver;un chauffeur de bus
a vet;un vétérinaire
a driving instructor;un moniteur d'auto-école
a programmer;un programmeur
a graphic designer;un graphiste
a web designer;un créateur de site web
to be self-employed;être son propre patron
the labour force;la main d'oeuvre
a wage earner;un salarié
skilful;adroit
unskilled;non qualifié
the hierarchy;la hiérarchie
the boss;le patron
the employer;l'employeur
a wage;un salaire
the paid holidays;les congés payés
an unpaid leave;un congé sans solde
the social welfare;la sécurité sociale
the social security benefits;les prestations sociales
the professional classes;les professions libérales
the working class;la classe ouvrière
a blue-collar worker;un col bleu (travailleur manuel)
a white-collar worker;un col blanc (employé de bureau)
a factory worker;un ouvrier d'usine
an apprentice;un apprenti
a technician;un technicien
an executive;un cadre (employé)
an engineer;un ingénieur
a mechanic;un mécanicien
a craftsman;un artisan
an electrician;un électricien
a joiner;un menuisier
a plasterer;un plâtrier
a glazier;un vitrier
a locksmith;un serrurier
a carpenter;un charpentier
a plumber;un plombier
a bricklayer;un maçon
a window cleaner;un laveur de carreau
a dustman;un éboueur
a lorry driver;un camionneur
a postman;un postier
a civil servant;un fonctionnaire
a bank clerk;un employé de banque
a secretary;une secretaire
a shopkeeper;un commerçant
a cashier;un caissier
a waiter;un serveur
a cook;un cuisinier
a hairdresser;un coiffeur
a journalist;un journaliste
a businessman;un homme d'affaire
an artist;un artiste
a musician;un musicien
a conductor;un chef d'orchestre
a writer;un écrivain
a pilot;un pilote
a dentist;un dentiste
a chemist;un pharmacien
a surgeon;un chirurgien
a nurse;une infirmière
an architect;un architecte
a judge;un juge
a lawyer;un avocat (la personne)
a solicitor;un notaire
to look for a job;chercher du travail
a job seeker;un demandeur d'emploi
to weaken;affaiblir
to read the small ads;lire les petites annonces
to fill in an application form;remplir une demande
